OwnershipCategory,tour_mode,purpose,survey_freq,model_freq
1: 1+ Veh/Adults > Veh,10: Taxi,6: Individual Discretionary,0.0,268.0
1: 1+ Veh/Adults > Veh,10: Taxi,9: Work-based,0.0,55.0
1: 1+ Veh/Adults > Veh,11: TNC Single,1: Work,0.0,256.0
1: 1+ Veh/Adults > Veh,11: TNC Single,4: Escort,0.0,19.0
1: 1+ Veh/Adults > Veh,11: TNC Single,5: Individual Maintenance,0.0,17.0
1: 1+ Veh/Adults > Veh,11: TNC Single,6: Individual Discretionary,0.0,249.0
1: 1+ Veh/Adults > Veh,11: TNC Single,9: Work-based,0.0,36.0
1: 1+ Veh/Adults > Veh,12: TNC Shared,1: Work,0.0,1376.0
1: 1+ Veh/Adults > Veh,12: TNC Shared,4: Escort,0.0,75.0
1: 1+ Veh/Adults > Veh,12: TNC Shared,5: Individual Maintenance,0.0,50.0
1: 1+ Veh/Adults > Veh,12: TNC Shared,6: Individual Discretionary,0.0,1040.0
1: 1+ Veh/Adults > Veh,12: TNC Shared,9: Work-based,0.0,107.0
1: 1+ Veh/Adults > Veh,13: School Bus,3: School,0.0,24781.0
2: Vehicles >= Adults,01: SOV,4: Escort,0.0,169476.0
2: Vehicles >= Adults,02: Shared Ride 2,4: Escort,0.0,238827.0
2: Vehicles >= Adults,03: Shared Ride 3+,4: Escort,0.0,298471.0
2: Vehicles >= Adults,04: Walk,4: Escort,0.0,13549.0
2: Vehicles >= Adults,05: Bike,4: Escort,0.0,331.0
2: Vehicles >= Adults,06: Walk to Transit,4: Escort,0.0,3.0
